Room,Pig#,Gender,Treatment,D0,D11,D14,D11_ADG,D14_ADG
1,246,M,NONINFnm,14.3,26,,0.971666667,
1,247,F,NONINFnm,14.3,19.8,,0.458333333,
1,248,F,NONINFnm,11,17.6,,0.55,
1,249,F,NONINFnm,13.9,20.9,,0.586666667,
1,250,M,NONINFnm,11.4,18,,0.55,
1,251,M,NONINFnm,16.1,20.9,22.44,0.403333333,0.425333333
1,252,M,NONINFnm,13,20.2,23.76,0.605,0.718666667
1,253,F,NONINFnm,13.9,22.2,27.72,0.696666667,0.924
1,254,M,NONINFnm,15.4,19.6,23.1,0.348333333,0.513333333
1,255,M,NONINFnm,19.1,28.8,33.88,0.806666667,0.982666667
1,256,F,NONINFnm,16.9,24,,0.586666667,
1,257,M,NONINFnm,18.7,27.5,,0.733333333,
1,258,M,NONINFnm,15,22.2,,0.605,
1,259,M,NONINFnm,12.3,16.7,,0.366666667,
1,260,F,NONINFnm,17.2,22,,0.403333333,
1,261,F,NONINFnm,15.8,24.9,27.5,0.751666667,0.777333333
1,262,M,NONINFnm,12.5,17.2,20.24,0.385,0.513333333
1,263,F,NONINFnm,13.6,20.7,24.64,0.586666667,0.733333333
1,264,F,NONINFnm,12.5,20.2,23.1,0.641666667,0.704
1,265,M,NONINFnm,16.5,28.2,30.14,0.971666667,0.909333333
2,266,M,INFfeed,15,22.7,,0.641666667,
2,267,F,INFfeed,13.4,16.9,,0.293333333,
2,268,F,INFfeed,14.5,20.9,,0.531666667,
2,269,F,INFfeed,13.6,19.4,,0.476666667,
2,270,F,INFfeed,13.9,22,,0.678333333,
2,271,M,INFfeed,14.5,20.9,23.54,0.531666667,0.601333333
2,272,F,INFfeed,16.5,26.4,29.7,0.825,0.88
2,273,M,INFfeed,15.6,19.4,21.56,0.311666667,0.396
2,274,M,INFfeed,17.2,22.9,24.86,0.476666667,0.513333333
2,275,F,INFfeed,16.5,21.8,24.86,0.44,0.557333333
2,276,M,INFfeed,13.4,18.3,,0.403333333,
2,277,M,INFfeed,14.3,17.2,,0.238333333,
2,278,F,INFfeed,12.3,18.7,,0.531666667,
2,279,M,INFfeed,16.3,24,,0.641666667,
2,280,M,INFfeed,12.1,18.9,,0.568333333,
2,281,F,INFfeed,17.4,25.1,29.92,0.641666667,0.836
2,282,M,INFfeed,12.5,20.5,23.98,0.66,0.762666667
2,283,M,INFfeed,11.9,18.5,22.22,0.55,0.689333333
2,284,F,INFfeed,11.9,15.8,18.92,0.33,0.469333333
2,285,F,INFfeed,13.9,17.4,21.34,0.293333333,0.498666667
3,286,F,INFinject,17.6,26.4,,0.733333333,
3,287,M,INFinject,10.6,13.9,,0.275,
3,288,F,INFinject,14.1,16.7,,0.22,
3,289,F,INFinject,14.3,24.2,,0.825,
3,290,M,INFinject,16.5,23.5,,0.586666667,
3,291,F,INFinject,13.9,20.2,23.76,0.531666667,0.66
3,292,M,INFinject,16.5,24.6,29.48,0.678333333,0.865333333
3,293,M,INFinject,18.5,22.7,25.74,0.348333333,0.484
3,294,F,INFinject,12.3,18.3,21.12,0.495,0.586666667
3,295,F,INFinject,13.6,20.9,22.44,0.605,0.586666667
3,296,F,INFinject,14.1,22.2,,0.678333333,
3,297,F,INFinject,13.9,22.9,,0.751666667,
3,298,M,INFinject,13,19.1,,0.513333333,
3,299,F,INFinject,14.5,22.2,,0.641666667,
3,300,F,INFinject,14.1,22.9,,0.733333333,
3,301,F,INFinject,13.9,20.7,22.66,0.568333333,0.586666667
3,302,F,INFinject,14.3,26.6,26.84,1.026666667,0.836
3,303,M,INFinject,13.2,22.4,23.54,0.77,0.689333333
3,304,M,INFinject,13.2,23.3,27.94,0.843333333,0.982666667
3,305,M,INFinject,15.2,26.2,29.04,0.916666667,0.924
4,306,F,INFnm,13.9,21.6,,0.641666667,
4,307,F,INFnm,11.9,15,,0.256666667,
4,308,F,INFnm,13.9,18.3,,0.366666667,
4,309,F,INFnm,16.1,21.6,,0.458333333,
4,310,M,INFnm,12.8,20.2,,0.623333333,
4,311,F,INFnm,17.2,22.9,26.18,0.476666667,0.601333333
4,312,M,INFnm,13,18.3,23.1,0.44,0.674666667
4,313,F,INFnm,13.2,15.8,18.04,0.22,0.322666667
4,314,F,INFnm,9.9,13.4,15.62,0.293333333,0.381333333
4,315,F,INFnm,12.8,17.8,21.78,0.421666667,0.601333333
4,316,M,INFnm,13.4,13.2,,-0.018333333,
4,317,F,INFnm,14.5,18.9,,0.366666667,
4,318,F,INFnm,14.7,22,,0.605,
4,319,F,INFnm,12.1,17.6,,0.458333333,
4,321,F,INFnm,15,16.3,20.68,0.11,0.381333333
4,322,F,INFnm,17.8,22.9,25.74,0.421666667,0.528
4,323,F,INFnm,18.3,23.1,25.52,0.403333333,0.484
4,324,F,INFnm,12.1,14.7,16.72,0.22,0.308
4,325,M,INFnm,11,13.4,15.18,0.201666667,0.278666667
