"","group","Pig","Sample.type","Day","Treatment","All","Order","value","value2"
"1","X9P246R1Dm3",246,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.46141975308642,2.56344307270233
"2","X9P247R1Dm3",247,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.0697674418604651,0.387596899224806
"3","X9P248R1Dm3",248,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.170900692840647,0.949448293559148
"4","X9P249R1Dm3",249,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.25751734772552,1.43065193180845
"5","X9P250R1D0",250,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Selenomonadales",0.209230769230769,2.32478632478632
"6","X9P250R1Dm3",250,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.207269914926527,1.1514995273696
"7","X9P251R1D7",251,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Selenomonadales",0.0788863109048724,0.986078886310905
"8","X9P251R1Dm3",251,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.261776061776062,1.45431145431145
"9","X9P252R1Dm3",252,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.220759101471727,1.22643945262071
"10","X9P253R1D7",253,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Selenomonadales",0.400772200772201,5.00965250965251
"11","X9P253R1Dm3",253,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.364833462432223,2.02685256906791
"12","X9P254R1Dm3",254,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.108695652173913,0.603864734299517
"13","X9P255R1D0",255,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Selenomonadales",0.164615384615385,1.82905982905983
"14","X9P255R1D7",255,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Selenomonadales",0.309175019275251,3.86468774094063
"15","X9P255R1Dm3",255,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.118055555555556,0.655864197530864
"16","X9P257R1D0",257,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Selenomonadales",0.242823894491854,2.69804327213171
"17","X9P257R1Dm3",257,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.350077279752705,1.94487377640392
"18","X9P258R1D0",258,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Selenomonadales",0.634615384615385,7.05128205128205
"19","X9P258R1Dm3",258,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.368827160493827,2.04903978052126
"20","X9P259R1D0",259,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Selenomonadales",0.395366795366795,4.39296439296439
"21","X9P259R1Dm3",259,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.143187066974596,0.795483705414421
"22","X9P261R1D0",261,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Selenomonadales",0.26023166023166,2.89146289146289
"23","X9P261R1D7",261,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Selenomonadales",0.122874806800618,1.53593508500773
"24","X9P261R1Dm3",261,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.266358737490377,1.47977076383543
"25","X9P262R1D7",262,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Selenomonadales",0.224363916730917,2.80454895913647
"26","X9P262R1Dm3",262,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.112055641421947,0.622531341233041
"27","X9P263R1D0",263,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Selenomonadales",0.0394126738794436,0.437918598660484
"28","X9P263R1D7",263,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Selenomonadales",0.395384615384615,4.94230769230769
"29","X9P263R1Dm3",263,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.12875867386276,0.715325965904223
"30","X9P264R1D0",264,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Selenomonadales",0.792917628945343,8.81019587717047
"31","X9P264R1D7",264,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Selenomonadales",0.304783950617284,3.80979938271605
"32","X9P264R1Dm3",264,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.389530408006159,2.16405782225644
"33","X9P265R1D0",265,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Selenomonadales",0.344615384615385,3.82905982905983
"34","X9P265R1D7",265,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Selenomonadales",0.274268104776579,3.42835130970724
"35","X9P265R1Dm3",265,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Selenomonadales",0.324303405572755,1.80168558651531
"36","X9P266R2Dm3",266,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.164869029275809,0.824345146379045
"37","X9P267R2D0",267,"Fecal or Fecal swab","0","INF_OralOTC","0_INF_OralOTC","Selenomonadales",0.00771604938271605,0.154320987654321
"38","X9P267R2Dm3",267,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.185328185328185,0.926640926640927
"39","X9P268R2Dm3",268,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.251349267540478,1.25674633770239
"40","X9P269R2D0",269,"Fecal or Fecal swab","0","INF_OralOTC","0_INF_OralOTC","Selenomonadales",0.190146266358737,3.80292532717475
"41","X9P269R2Dm3",269,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.110681114551084,0.553405572755418
"42","X9P270R2Dm3",270,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.269230769230769,1.34615384615385
"43","X9P271R2D7",271,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Selenomonadales",0.262914417887433,2.62914417887433
"44","X9P271R2Dm3",271,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.22608024691358,1.1304012345679
"45","X9P272R2D7",272,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Selenomonadales",0.321759259259259,3.21759259259259
"46","X9P272R2Dm3",272,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.157935285053929,0.789676425269646
"47","X9P273R2D7",273,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Selenomonadales",0.451811873554356,4.51811873554356
"48","X9P273R2Dm3",273,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.113953488372093,0.569767441860465
"49","X9P274R2D7",274,"Fecal or Fecal swab","7","INF_OralOTC","7_INF_OralOTC","Selenomonadales",0.257142857142857,2.57142857142857
