Pig,Day,Treatment,Nasal_Wash,Tonsil
266,D11,INFfeed,6.95,5.04
267,D11,INFfeed,3.36,4.62
268,D11,INFfeed,3.89,4.63
269,D11,INFfeed,4.51,4.57
270,D11,INFfeed,2.92,4.45
271,D11,INFfeed,3.54,
272,D11,INFfeed,2.08,
273,D11,INFfeed,1.95,
274,D11,INFfeed,3.26,
275,D11,INFfeed,2.92,
276,D11,INFfeed,2.59,4.65
277,D11,INFfeed,5.05,4.58
278,D11,INFfeed,3.76,4.27
279,D11,INFfeed,1,3.77
280,D11,INFfeed,2.36,3.68
281,D11,INFfeed,3.21,
282,D11,INFfeed,3.01,
283,D11,INFfeed,3.45,
284,D11,INFfeed,2.8,
285,D11,INFfeed,3.36,
286,D11,INFinject,4.53,3.77
287,D11,INFinject,5.53,4.38
288,D11,INFinject,1,3.09
289,D11,INFinject,1,1
290,D11,INFinject,2.45,4.1
291,D11,INFinject,1,
292,D11,INFinject,3.38,
293,D11,INFinject,1.3,
294,D11,INFinject,2.11,
295,D11,INFinject,1,
296,D11,INFinject,1,1
297,D11,INFinject,1.95,5.53
298,D11,INFinject,1,4.46
299,D11,INFinject,2.82,1
300,D11,INFinject,1,4.36
301,D11,INFinject,2.08,
302,D11,INFinject,2.36,
303,D11,INFinject,1,
304,D11,INFinject,2.08,
305,D11,INFinject,1,
306,D11,INFnm,6.16,4.13
307,D11,INFnm,3.1,3.18
308,D11,INFnm,2.11,4.56
309,D11,INFnm,,5.53
310,D11,INFnm,3.01,5.38
311,D11,INFnm,1,
312,D11,INFnm,4.77,
313,D11,INFnm,4.62,
314,D11,INFnm,2.85,
315,D11,INFnm,2.63,
316,D11,INFnm,2.15,5.12
317,D11,INFnm,3.32,3.83
318,D11,INFnm,4.41,4.38
319,D11,INFnm,2.26,4.54
321,D11,INFnm,1.78,
322,D11,INFnm,1.48,
323,D11,INFnm,3.59,
324,D11,INFnm,1.95,
325,D11,INFnm,2.43,
271,D14,INFfeed,3.97,4.45
272,D14,INFfeed,2.3,4.43
273,D14,INFfeed,2.75,5.34
274,D14,INFfeed,1,3.26
275,D14,INFfeed,3.69,3.48
281,D14,INFfeed,3.09,5.41
282,D14,INFfeed,4.05,4.9
283,D14,INFfeed,3.01,4.04
284,D14,INFfeed,4.32,4.12
285,D14,INFfeed,3.9,3.7
291,D14,INFinject,1,3.74
292,D14,INFinject,2.75,4.2
293,D14,INFinject,2.18,3.6
294,D14,INFinject,2.41,3.43
295,D14,INFinject,2,4.45
301,D14,INFinject,2.61,1
302,D14,INFinject,1.48,6.14
303,D14,INFinject,2.53,3.51
304,D14,INFinject,2.92,1
305,D14,INFinject,2.18,4.43
311,D14,INFnm,3.45,3.52
312,D14,INFnm,2.75,4.85
313,D14,INFnm,2.85,3.58
314,D14,INFnm,4.19,4.51
315,D14,INFnm,3.64,4.6
321,D14,INFnm,1,3.51
322,D14,INFnm,2.32,3.54
323,D14,INFnm,4,3.45
324,D14,INFnm,2.2,4.56
325,D14,INFnm,5.72,4.69
