Pig,Day,Treatment,Weight,PlasmaOxytet,LungOyxtet,NasalOxytet
246,D11,NONINFnm,11.8,NF,NF,
247,D11,NONINFnm,9,NF,NF,
248,D11,NONINFnm,8,NF,NF,
249,D11,NONINFnm,9.5,NF,NF,
250,D11,NONINFnm,8.2,NF,NF,
251,D11,NONINFnm,9.5,,,
252,D11,NONINFnm,9.2,,,
253,D11,NONINFnm,10.1,,,
254,D11,NONINFnm,8.9,,,
255,D11,NONINFnm,13.1,,,
256,D11,NONINFnm,10.9,NF,NF,
257,D11,NONINFnm,12.5,NF,NF,
258,D11,NONINFnm,10.1,NF,NF,
259,D11,NONINFnm,7.6,NF,NF,
260,D11,NONINFnm,10,NF,NF,
261,D11,NONINFnm,11.3,,,
262,D11,NONINFnm,7.8,,,
263,D11,NONINFnm,9.4,,,
264,D11,NONINFnm,9.2,,,
265,D11,NONINFnm,12.8,,,
266,D11,INFfeed,10.3,166.4821465,262.75,283.6
267,D11,INFfeed,7.7,113.6978988,164.79,124.8
268,D11,INFfeed,9.5,87.61648582,247.03,185.2
269,D11,INFfeed,8.8,146.5446549,243.47,190
270,D11,INFfeed,10,188.2725514,265.62,246.4
271,D11,INFfeed,9.5,,,
272,D11,INFfeed,12,,,
273,D11,INFfeed,8.8,,,
274,D11,INFfeed,10.4,,,
275,D11,INFfeed,9.9,,,
276,D11,INFfeed,8.3,88.63603168,97.65,415.2
277,D11,INFfeed,7.8,56.24388848,98.39,134.4
278,D11,INFfeed,8.5,91.92670556,130.73,333.6
279,D11,INFfeed,10.9,128.9913613,392.83,148
280,D11,INFfeed,8.6,95.51347394,161.13,336.8
281,D11,INFfeed,11.4,,,
282,D11,INFfeed,9.3,,,
283,D11,INFfeed,8.4,,,
284,D11,INFfeed,7.2,,,
285,D11,INFfeed,7.9,,,
286,D11,INFinject,12,309.8421316,220.55,10
287,D11,INFinject,6.3,740.2206751,188.95,10
288,D11,INFinject,7.6,400.1381604,91.89,10
289,D11,INFinject,11,339.4538756,156.25,10
290,D11,INFinject,10.7,388.5787777,195.13,10
291,D11,INFinject,9.2,,,
292,D11,INFinject,11.2,,,
293,D11,INFinject,10.3,,,
294,D11,INFinject,8.3,,,
295,D11,INFinject,9.5,,,
296,D11,INFinject,10.1,424.6476766,279.64,10
297,D11,INFinject,10.4,356.256269,300.22,10
298,D11,INFinject,8.7,425.9234604,272.98,10
299,D11,INFinject,10.1,398.6272631,177.09,10
300,D11,INFinject,10.4,370.2290479,152.06,10
301,D11,INFinject,9.4,,,
302,D11,INFinject,12.1,,,
303,D11,INFinject,10.2,,,
304,D11,INFinject,10.6,,,
305,D11,INFinject,11.9,,,
306,D11,INFnm,9.8,NF,NF,10
307,D11,INFnm,6.8,NF,NF,10
308,D11,INFnm,8.3,NF,NF,10
309,D11,INFnm,9.8,NF,NF,10
310,D11,INFnm,9.2,NF,NF,10
311,D11,INFnm,10.4,,,
312,D11,INFnm,8.3,,,
313,D11,INFnm,7.2,,,
314,D11,INFnm,6.1,,,
315,D11,INFnm,8.1,,,
316,D11,INFnm,6,NF,NF,10
317,D11,INFnm,8.6,NF,NF,10
318,D11,INFnm,10,NF,NF,10
319,D11,INFnm,8,NF,NF,10
320,D11,INFnm,-,,,
321,D11,INFnm,7.4,,,
322,D11,INFnm,10.4,,,
323,D11,INFnm,10.5,,,
324,D11,INFnm,6.7,,,
325,D11,INFnm,6.1,,,
246,D14,NONINFnm,--,,,
247,D14,NONINFnm,--,,,
248,D14,NONINFnm,--,,,
249,D14,NONINFnm,--,,,
250,D14,NONINFnm,--,,,
251,D14,NONINFnm,10.2,NF,NF,
252,D14,NONINFnm,10.8,NF,NF,
253,D14,NONINFnm,12.6,NF,NF,
254,D14,NONINFnm,10.5,NF,NF,
255,D14,NONINFnm,15.4,NF,NF,
256,D14,NONINFnm,--,,,
257,D14,NONINFnm,--,,,
258,D14,NONINFnm,--,,,
259,D14,NONINFnm,--,,,
260,D14,NONINFnm,--,,,
261,D14,NONINFnm,12.5,NF,NF,
262,D14,NONINFnm,9.2,NF,NF,
263,D14,NONINFnm,11.2,NF,NF,
264,D14,NONINFnm,10.5,NF,NF,
265,D14,NONINFnm,13.7,NF,NF,
266,D14,INFfeed,--,,,
267,D14,INFfeed,--,,,
268,D14,INFfeed,--,,,
269,D14,INFfeed,--,,,
270,D14,INFfeed,--,,,
271,D14,INFfeed,10.7,149.7762333,147.88,146.4
272,D14,INFfeed,13.5,128.3278167,136.08,163.6
273,D14,INFfeed,9.8,83.96140486,175.42,287.6
274,D14,INFfeed,11.3,129.1689111,319.3,161.6
275,D14,INFfeed,11.3,132.7932607,208.35,118.8
276,D14,INFfeed,--,,,
277,D14,INFfeed,--,,,
278,D14,INFfeed,--,,,
279,D14,INFfeed,--,,,
280,D14,INFfeed,--,,,
281,D14,INFfeed,13.6,100.1600927,189.1,498.4
282,D14,INFfeed,10.9,164.0623459,296.88,232
283,D14,INFfeed,10.1,90.82889068,253.75,355.2
284,D14,INFfeed,8.6,88.24039625,258.64,183.6
285,D14,INFfeed,9.7,109.0964094,181.72,140.8
286,D14,INFinject,--,,,
287,D14,INFinject,--,,,
288,D14,INFinject,--,,,
289,D14,INFinject,--,,,
290,D14,INFinject,--,,,
291,D14,INFinject,10.8,586.9453648,43.47,10
292,D14,INFinject,13.4,332.2710988,76.87,13.1
293,D14,INFinject,11.7,452.801606,30.98,10
294,D14,INFinject,9.6,361.0645596,32.13,10
295,D14,INFinject,10.2,526.2047401,57.44,10
296,D14,INFinject,--,,,
297,D14,INFinject,--,,,
298,D14,INFinject,--,,,
299,D14,INFinject,--,,,
300,D14,INFinject,--,,,
301,D14,INFinject,10.3,497.9480541,49.52,10
302,D14,INFinject,12.2,274.5517128,36.88,10
303,D14,INFinject,10.7,267.7993308,45.32,10
304,D14,INFinject,12.7,210.2843884,32.43,10
305,D14,INFinject,13.2,265.3863602,51.25,14.1
306,D14,INFnm,--,,,
307,D14,INFnm,--,,,
308,D14,INFnm,--,,,
309,D14,INFnm,--,,,
310,D14,INFnm,--,,,
311,D14,INFnm,11.9,NF,NF,10
312,D14,INFnm,10.5,NF,NF,10
313,D14,INFnm,8.2,NF,NF,10
314,D14,INFnm,7.1,NF,NF,10
315,D14,INFnm,9.9,NF,NF,10
316,D14,INFnm,--,,,
317,D14,INFnm,--,,,
318,D14,INFnm,--,,,
319,D14,INFnm,--,,,
320,D14,INFnm,--,,,
321,D14,INFnm,9.4,NF,NF,10
322,D14,INFnm,11.7,NF,NF,10
323,D14,INFnm,11.6,NF,NF,10
324,D14,INFnm,7.6,NF,NF,10
325,D14,INFnm,6.9,NF,NF,10
