Sample,Day,Pig,Treatment,Sample type
X9P266R2D4,D4,P266,INFfeed,Fecal or Fecal swab
X9P267R2D4,D4,P267,INFfeed,Fecal or Fecal swab
X9P269R2D4,D4,P269,INFfeed,Fecal or Fecal swab
X9P278R2D4,D4,P278,INFfeed,Fecal or Fecal swab
X9P286R3D4,D4,P286,INFinject,Fecal or Fecal swab
X9P289R3D4,D4,P289,INFinject,Fecal or Fecal swab
X9P290R3D4,D4,P290,INFinject,Fecal or Fecal swab
X9P296R3D4,D4,P296,INFinject,Fecal or Fecal swab
X9P297R3D4,D4,P297,INFinject,Fecal or Fecal swab
X9P298R3D4,D4,P298,INFinject,Fecal or Fecal swab
X9P299R3D4,D4,P299,INFinject,Fecal or Fecal swab
X9P306R4D4,D4,P306,INFnm,Fecal or Fecal swab
X9P309R4D4,D4,P309,INFnm,Fecal or Fecal swab
X9P316R4D4,D4,P316,INFnm,Fecal or Fecal swab
X9P317R4D4,D4,P317,INFnm,Fecal or Fecal swab
X9P318R4D4,D4,P318,INFnm,Fecal or Fecal swab
X9P319R4D4,D4,P319,INFnm,Fecal or Fecal swab
X9P271R2D7,D7,P271,INFfeed,Fecal
X9P272R2D7,D7,P272,INFfeed,Fecal
X9P273R2D7,D7,P273,INFfeed,Fecal
X9P274R2D7,D7,P274,INFfeed,Fecal or Fecal swab
X9P275R2D7,D7,P275,INFfeed,Fecal or Fecal swab
X9P281R2D7,D7,P281,INFfeed,Fecal
X9P281R2D7_2,D7,P281,INFfeed,Fecal or Fecal swab
X9P282R2D7,D7,P282,INFfeed,Fecal
X9P283R2D7,D7,P283,INFfeed,Fecal
X9P283R2D7_2,D7,P283,INFfeed,Fecal or Fecal swab
X9P284R2D7,D7,P284,INFfeed,Fecal
X9P284R2D7_2,D7,P284,INFfeed,Fecal or Fecal swab
X9P285R2D7,D7,P285,INFfeed,Fecal
X9P291R3D7,D7,P291,INFinject,Fecal or Fecal swab
X9P291R3D7_2,D7,P291,INFinject,Fecal
X9P292R3D7,D7,P292,INFinject,Fecal
X9P293R3D7,D7,P293,INFinject,Fecal
X9P293R3D7_2,D7,P293,INFinject,Fecal or Fecal swab
X9P294R3D7,D7,P294,INFinject,Fecal
X9P294R3D7_2,D7,P294,INFinject,Fecal or Fecal swab
X9P295R3D7,D7,P295,INFinject,Fecal
X9P295R3D7_2,D7,P295,INFinject,Fecal or Fecal swab
X9P301R3D7,D7,P301,INFinject,Fecal
X9P301R3D7_2,D7,P301,INFinject,Fecal or Fecal swab
X9P302R3D7,D7,P302,INFinject,Fecal
X9P302R3D7_2,D7,P302,INFinject,Fecal or Fecal swab
X9P303R3D7,D7,P303,INFinject,Fecal or Fecal swab
X9P303R3D7_2,D7,P303,INFinject,Fecal
X9P304R3D7,D7,P304,INFinject,Fecal
X9P304R3D7_2,D7,P304,INFinject,Fecal or Fecal swab
X9P305R3D7,D7,P305,INFinject,Fecal
X9P305R3D7_2,D7,P305,INFinject,Fecal or Fecal swab
X9P311R4D7,D7,P311,INFnm,Fecal
X9P311R4D7_2,D7,P311,INFnm,Fecal or Fecal swab
X9P312R4D7,D7,P312,INFnm,Fecal
X9P313R4D7,D7,P313,INFnm,Fecal
X9P314R4D7,D7,P314,INFnm,Fecal
X9P315R4D7,D7,P315,INFnm,Fecal
X9P321R4D7,D7,P321,INFnm,Fecal
X9P322R4D7,D7,P322,INFnm,Fecal
X9P323R4D7,D7,P323,INFnm,Fecal
X9P323R4D7_2,D7,P323,INFnm,Fecal or Fecal swab
X9P324R4D7,D7,P324,INFnm,Fecal
X9P324R4D7_2,D7,P324,INFnm,Fecal or Fecal swab
X9P325R4D7,D7,P325,INFnm,Fecal
X9P325R4D7_2,D7,P325,INFnm,Fecal or Fecal swab
