Sample,Day,Pig,Treatment,Sample type
X9P308R4D0,D7,P308,INFnm,Fecal or Fecal swab
X9P309R4D0,D7,P309,INFnm,Fecal or Fecal swab
X9P310R4D0,D7,P310,INFnm,Fecal or Fecal swab
X9P312R4D0,D7,P312,INFnm,Fecal or Fecal swab
X9P317R4D0,D7,P317,INFnm,Fecal or Fecal swab
X9P320R4D0,D7,P320,INFnm,Fecal or Fecal swab
X9P322R4D0,D7,P322,INFnm,Fecal or Fecal swab
X9P324R4D0,D7,P324,INFnm,Fecal or Fecal swab
X9P250R1D0,D7,P250,NONINFnm,Fecal or Fecal swab
X9P255R1D0,D7,P255,NONINFnm,Fecal or Fecal swab
X9P257R1D0,D7,P257,NONINFnm,Fecal or Fecal swab
X9P258R1D0,D7,P258,NONINFnm,Fecal or Fecal swab
X9P259R1D0,D7,P259,NONINFnm,Fecal or Fecal swab
X9P261R1D0,D7,P261,NONINFnm,Fecal or Fecal swab
X9P263R1D0,D7,P263,NONINFnm,Fecal or Fecal swab
X9P264R1D0,D7,P264,NONINFnm,Fecal or Fecal swab
X9P265R1D0,D7,P265,NONINFnm,Fecal or Fecal swab
X9P306R4D4,D11,P306,INFnm,Fecal or Fecal swab
X9P309R4D4,D11,P309,INFnm,Fecal or Fecal swab
X9P316R4D4,D11,P316,INFnm,Fecal or Fecal swab
X9P317R4D4,D11,P317,INFnm,Fecal or Fecal swab
X9P318R4D4,D11,P318,INFnm,Fecal or Fecal swab
X9P319R4D4,D11,P319,INFnm,Fecal or Fecal swab
X9P246R1D4,D11,P246,NONINFnm,Fecal or Fecal swab
X9P250R1D4,D11,P250,NONINFnm,Fecal or Fecal swab
X9P257R1D4,D11,P257,NONINFnm,Fecal or Fecal swab
X9P258R1D4,D11,P258,NONINFnm,Fecal or Fecal swab
X9P259R1D4,D11,P259,NONINFnm,Fecal or Fecal swab
X9P311R4D7,D14,P311,INFnm,Fecal
X9P311R4D7_2,D14,P311,INFnm,Fecal or Fecal swab
X9P312R4D7,D14,P312,INFnm,Fecal
X9P313R4D7,D14,P313,INFnm,Fecal
X9P314R4D7,D14,P314,INFnm,Fecal
X9P315R4D7,D14,P315,INFnm,Fecal
X9P321R4D7,D14,P321,INFnm,Fecal
X9P322R4D7,D14,P322,INFnm,Fecal
X9P323R4D7,D14,P323,INFnm,Fecal
X9P323R4D7_2,D14,P323,INFnm,Fecal or Fecal swab
X9P324R4D7,D14,P324,INFnm,Fecal
X9P324R4D7_2,D14,P324,INFnm,Fecal or Fecal swab
X9P325R4D7,D14,P325,INFnm,Fecal
X9P325R4D7_2,D14,P325,INFnm,Fecal or Fecal swab
X9P251R1D7,D14,P251,NONINFnm,Fecal
X9P253R1D7,D14,P253,NONINFnm,Fecal
X9P255R1D7,D14,P255,NONINFnm,Fecal
X9P255R1D7_2,D14,P255,NONINFnm,Fecal or Fecal swab
X9P261R1D7,D14,P261,NONINFnm,Fecal
X9P261R1D7_2,D14,P261,NONINFnm,Fecal or Fecal swab
X9P262R1D7,D14,P262,NONINFnm,Fecal
X9P263R1D7,D14,P263,NONINFnm,Fecal
X9P263R1D7_2,D14,P263,NONINFnm,Fecal or Fecal swab
X9P264R1D7,D14,P264,NONINFnm,Fecal
X9P265R1D7,D14,P265,NONINFnm,Fecal
X9P265R1D7_2,D14,P265,NONINFnm,Fecal or Fecal swab
