Sample,Day,Pig,Treatment,Sample type
X9P267R2D0,D0,P267,INF,Fecal or Fecal swab
X9P269R2D0,D0,P269,INF,Fecal or Fecal swab
X9P278R2D0,D0,P278,INF,Fecal or Fecal swab
X9P280R2D0,D0,P280,INF,Fecal or Fecal swab
X9P284R2D0,D0,P284,INF,Fecal or Fecal swab
X9P286R3D0,D0,P286,INF,Fecal or Fecal swab
X9P290R3D0,D0,P290,INF,Fecal or Fecal swab
X9P291R3D0,D0,P291,INF,Fecal or Fecal swab
X9P293R3D0,D0,P293,INF,Fecal or Fecal swab
X9P295R3D0,D0,P295,INF,Fecal or Fecal swab
X9P296R3D0,D0,P296,INF,Fecal or Fecal swab
X9P297R3D0,D0,P297,INF,Fecal or Fecal swab
X9P299R3D0,D0,P299,INF,Fecal or Fecal swab
X9P300R3D0,D0,P300,INF,Fecal or Fecal swab
X9P301R3D0,D0,P301,INF,Fecal or Fecal swab
X9P302R3D0,D0,P302,INF,Fecal or Fecal swab
X9P304R3D0,D0,P304,INF,Fecal or Fecal swab
X9P305R3D0,D0,P305,INF,Fecal or Fecal swab
X9P308R4D0,D0,P308,INF,Fecal or Fecal swab
X9P309R4D0,D0,P309,INF,Fecal or Fecal swab
X9P310R4D0,D0,P310,INF,Fecal or Fecal swab
X9P312R4D0,D0,P312,INF,Fecal or Fecal swab
X9P317R4D0,D0,P317,INF,Fecal or Fecal swab
X9P320R4D0,D0,P320,INF,Fecal or Fecal swab
X9P322R4D0,D0,P322,INF,Fecal or Fecal swab
X9P324R4D0,D0,P324,INF,Fecal or Fecal swab
X9P250R1D0,D0,P250,NONINF,Fecal or Fecal swab
X9P255R1D0,D0,P255,NONINF,Fecal or Fecal swab
X9P257R1D0,D0,P257,NONINF,Fecal or Fecal swab
X9P258R1D0,D0,P258,NONINF,Fecal or Fecal swab
X9P259R1D0,D0,P259,NONINF,Fecal or Fecal swab
X9P261R1D0,D0,P261,NONINF,Fecal or Fecal swab
X9P263R1D0,D0,P263,NONINF,Fecal or Fecal swab
X9P264R1D0,D0,P264,NONINF,Fecal or Fecal swab
X9P265R1D0,D0,P265,NONINF,Fecal or Fecal swab
X9P266R2Dm3,DNEG3,P266,INF,Fecal Swab
X9P267R2Dm3,DNEG3,P267,INF,Fecal Swab
X9P268R2Dm3,DNEG3,P268,INF,Fecal Swab
X9P269R2Dm3,DNEG3,P269,INF,Fecal Swab
X9P270R2Dm3,DNEG3,P270,INF,Fecal Swab
X9P271R2Dm3,DNEG3,P271,INF,Fecal Swab
X9P272R2Dm3,DNEG3,P272,INF,Fecal Swab
X9P273R2Dm3,DNEG3,P273,INF,Fecal Swab
X9P274R2Dm3,DNEG3,P274,INF,Fecal Swab
X9P275R2Dm3,DNEG3,P275,INF,Fecal Swab
X9P276R2Dm3,DNEG3,P276,INF,Fecal Swab
X9P277R2Dm3,DNEG3,P277,INF,Fecal Swab
X9P278R2Dm3,DNEG3,P278,INF,Fecal Swab
X9P279R2Dm3,DNEG3,P279,INF,Fecal Swab
X9P280R2Dm3,DNEG3,P280,INF,Fecal Swab
X9P281R2Dm3,DNEG3,P281,INF,Fecal Swab
X9P282R2Dm3,DNEG3,P282,INF,Fecal Swab
X9P283R2Dm3,DNEG3,P283,INF,Fecal Swab
X9P284R2Dm3,DNEG3,P284,INF,Fecal Swab
X9P285R2Dm3,DNEG3,P285,INF,Fecal Swab
X9P286R3Dm3,DNEG3,P286,INF,Fecal Swab
X9P287R3Dm3,DNEG3,P287,INF,Fecal Swab
X9P288R3Dm3,DNEG3,P288,INF,Fecal Swab
X9P289R3Dm3,DNEG3,P289,INF,Fecal Swab
X9P290R3Dm3,DNEG3,P290,INF,Fecal Swab
X9P291R3Dminus3,DNEG3,P291,INF,Fecal or Fecal swab
X9P292R3Dm3,DNEG3,P292,INF,Fecal Swab
X9P293R3Dm3,DNEG3,P293,INF,Fecal Swab
X9P294R3Dm3,DNEG3,P294,INF,Fecal Swab
X9P295R3Dm3,DNEG3,P295,INF,Fecal Swab
X9P296R3Dm3,DNEG3,P296,INF,Fecal Swab
X9P297R3Dm3,DNEG3,P297,INF,Fecal or Fecal swab
X9P298R3Dm3,DNEG3,P298,INF,Fecal Swab
X9P299R3Dm3,DNEG3,P299,INF,Fecal Swab
X9P300R3Dm3,DNEG3,P300,INF,Fecal Swab
X9P301R3Dm3,DNEG3,P301,INF,Fecal Swab
X9P302R3Dm3,DNEG3,P302,INF,Fecal Swab
X9P303R3Dm3,DNEG3,P303,INF,Fecal or Fecal swab
X9P304R3Dm3,DNEG3,P304,INF,Fecal Swab
X9P305R3Dm3,DNEG3,P305,INF,Fecal Swab
X9P306R4Dm3,DNEG3,P306,INF,Fecal Swab
X9P307R4Dm3,DNEG3,P307,INF,Fecal Swab
X9P308R4Dm3,DNEG3,P308,INF,Fecal Swab
X9P309R4Dminus3,DNEG3,P309,INF,Fecal or Fecal swab
X9P310R4Dm3,DNEG3,P310,INF,Fecal Swab
X9P311R4Dm3,DNEG3,P311,INF,Fecal Swab
X9P312R4Dm3,DNEG3,P312,INF,Fecal Swab
X9P313R4Dm3,DNEG3,P313,INF,Fecal Swab
X9P314R4Dm3,DNEG3,P314,INF,Fecal Swab
X9P315R4Dm3,DNEG3,P315,INF,Fecal Swab
X9P316R4Dm3,DNEG3,P316,INF,Fecal Swab
X9P317R4Dm3,DNEG3,P317,INF,Fecal Swab
X9P318R4Dm3,DNEG3,P318,INF,Fecal or Fecal swab
X9P319R4Dm3,DNEG3,P319,INF,Fecal Swab
X9P320R4Dm3,DNEG3,P320,INF,Fecal Swab
X9P321R4Dm3,DNEG3,P321,INF,Fecal Swab
X9P322R4Dm3,DNEG3,P322,INF,Fecal Swab
X9P323R4Dm3,DNEG3,P323,INF,Fecal Swab
X9P324R4Dm3,DNEG3,P324,INF,Fecal Swab
X9P325R4Dm3,DNEG3,P325,INF,Fecal Swab
X9P246R1Dm3,DNEG3,P246,NONINF,Fecal Swab
X9P247R1Dm3,DNEG3,P247,NONINF,Fecal Swab
X9P248R1Dm3,DNEG3,P248,NONINF,Fecal Swab
X9P249R1Dm3,DNEG3,P249,NONINF,Fecal Swab
X9P250R1Dm3,DNEG3,P250,NONINF,Fecal Swab
X9P251R1Dm3,DNEG3,P251,NONINF,Fecal Swab
X9P252R1Dm3,DNEG3,P252,NONINF,Fecal Swab
X9P253R1Dm3,DNEG3,P253,NONINF,Fecal Swab
X9P254R1Dm3,DNEG3,P254,NONINF,Fecal Swab
X9P255R1Dm3,DNEG3,P255,NONINF,Fecal Swab
X9P256R1Dm3,DNEG3,P256,NONINF,Fecal Swab
X9P257R1Dm3,DNEG3,P257,NONINF,Fecal Swab
X9P258R1Dm3,DNEG3,P258,NONINF,Fecal Swab
X9P259R1Dm3,DNEG3,P259,NONINF,Fecal Swab
X9P260R1Dm3,DNEG3,P260,NONINF,Fecal Swab
X9P261R1Dm3,DNEG3,P261,NONINF,Fecal Swab
X9P262R1Dm3,DNEG3,P262,NONINF,Fecal Swab
X9P263R1Dm3,DNEG3,P263,NONINF,Fecal Swab
X9P264R1Dm3,DNEG3,P264,NONINF,Fecal Swab
X9P265R1Dm3,DNEG3,P265,NONINF,Fecal Swab
