Sample,Day,Pig,Treatment,Sample type
X9P308R4D0,D0,P308,INFnm,Fecal or Fecal swab
X9P309R4D0,D0,P309,INFnm,Fecal or Fecal swab
X9P310R4D0,D0,P310,INFnm,Fecal or Fecal swab
X9P312R4D0,D0,P312,INFnm,Fecal or Fecal swab
X9P317R4D0,D0,P317,INFnm,Fecal or Fecal swab
X9P320R4D0,D0,P320,INFnm,Fecal or Fecal swab
X9P322R4D0,D0,P322,INFnm,Fecal or Fecal swab
X9P324R4D0,D0,P324,INFnm,Fecal or Fecal swab
X9P306R4D4,D4,P306,INFnm,Fecal or Fecal swab
X9P309R4D4,D4,P309,INFnm,Fecal or Fecal swab
X9P316R4D4,D4,P316,INFnm,Fecal or Fecal swab
X9P317R4D4,D4,P317,INFnm,Fecal or Fecal swab
X9P318R4D4,D4,P318,INFnm,Fecal or Fecal swab
X9P319R4D4,D4,P319,INFnm,Fecal or Fecal swab
X9P311R4D7,D7,P311,INFnm,Fecal
X9P311R4D7_2,D7,P311,INFnm,Fecal or Fecal swab
X9P312R4D7,D7,P312,INFnm,Fecal
X9P313R4D7,D7,P313,INFnm,Fecal
X9P314R4D7,D7,P314,INFnm,Fecal
X9P315R4D7,D7,P315,INFnm,Fecal
X9P321R4D7,D7,P321,INFnm,Fecal
X9P322R4D7,D7,P322,INFnm,Fecal
X9P323R4D7,D7,P323,INFnm,Fecal
X9P323R4D7_2,D7,P323,INFnm,Fecal or Fecal swab
X9P324R4D7,D7,P324,INFnm,Fecal
X9P324R4D7_2,D7,P324,INFnm,Fecal or Fecal swab
X9P325R4D7,D7,P325,INFnm,Fecal
X9P325R4D7_2,D7,P325,INFnm,Fecal or Fecal swab
X9P306R4Dm3,DNEG3,P306,INFnm,Fecal Swab
X9P307R4Dm3,DNEG3,P307,INFnm,Fecal Swab
X9P308R4Dm3,DNEG3,P308,INFnm,Fecal Swab
X9P309R4Dminus3,DNEG3,P309,INFnm,Fecal or Fecal swab
X9P310R4Dm3,DNEG3,P310,INFnm,Fecal Swab
X9P311R4Dm3,DNEG3,P311,INFnm,Fecal Swab
X9P312R4Dm3,DNEG3,P312,INFnm,Fecal Swab
X9P313R4Dm3,DNEG3,P313,INFnm,Fecal Swab
X9P314R4Dm3,DNEG3,P314,INFnm,Fecal Swab
X9P315R4Dm3,DNEG3,P315,INFnm,Fecal Swab
X9P316R4Dm3,DNEG3,P316,INFnm,Fecal Swab
X9P317R4Dm3,DNEG3,P317,INFnm,Fecal Swab
X9P318R4Dm3,DNEG3,P318,INFnm,Fecal or Fecal swab
X9P319R4Dm3,DNEG3,P319,INFnm,Fecal Swab
X9P320R4Dm3,DNEG3,P320,INFnm,Fecal Swab
X9P321R4Dm3,DNEG3,P321,INFnm,Fecal Swab
X9P322R4Dm3,DNEG3,P322,INFnm,Fecal Swab
X9P323R4Dm3,DNEG3,P323,INFnm,Fecal Swab
X9P324R4Dm3,DNEG3,P324,INFnm,Fecal Swab
X9P325R4Dm3,DNEG3,P325,INFnm,Fecal Swab
X9P250R1D0,D0,P250,NONINFnm,Fecal or Fecal swab
X9P255R1D0,D0,P255,NONINFnm,Fecal or Fecal swab
X9P257R1D0,D0,P257,NONINFnm,Fecal or Fecal swab
X9P258R1D0,D0,P258,NONINFnm,Fecal or Fecal swab
X9P259R1D0,D0,P259,NONINFnm,Fecal or Fecal swab
X9P261R1D0,D0,P261,NONINFnm,Fecal or Fecal swab
X9P263R1D0,D0,P263,NONINFnm,Fecal or Fecal swab
X9P264R1D0,D0,P264,NONINFnm,Fecal or Fecal swab
X9P265R1D0,D0,P265,NONINFnm,Fecal or Fecal swab
X9P246R1D4,D4,P246,NONINFnm,Fecal or Fecal swab
X9P250R1D4,D4,P250,NONINFnm,Fecal or Fecal swab
X9P257R1D4,D4,P257,NONINFnm,Fecal or Fecal swab
X9P258R1D4,D4,P258,NONINFnm,Fecal or Fecal swab
X9P259R1D4,D4,P259,NONINFnm,Fecal or Fecal swab
X9P251R1D7,D7,P251,NONINFnm,Fecal
X9P253R1D7,D7,P253,NONINFnm,Fecal
X9P255R1D7,D7,P255,NONINFnm,Fecal
X9P255R1D7_2,D7,P255,NONINFnm,Fecal or Fecal swab
X9P261R1D7,D7,P261,NONINFnm,Fecal
X9P261R1D7_2,D7,P261,NONINFnm,Fecal or Fecal swab
X9P262R1D7,D7,P262,NONINFnm,Fecal
X9P263R1D7,D7,P263,NONINFnm,Fecal
X9P263R1D7_2,D7,P263,NONINFnm,Fecal or Fecal swab
X9P264R1D7,D7,P264,NONINFnm,Fecal
X9P265R1D7,D7,P265,NONINFnm,Fecal
X9P265R1D7_2,D7,P265,NONINFnm,Fecal or Fecal swab
X9P246R1Dm3,DNEG3,P246,NONINFnm,Fecal Swab
X9P247R1Dm3,DNEG3,P247,NONINFnm,Fecal Swab
X9P248R1Dm3,DNEG3,P248,NONINFnm,Fecal Swab
X9P249R1Dm3,DNEG3,P249,NONINFnm,Fecal Swab
X9P250R1Dm3,DNEG3,P250,NONINFnm,Fecal Swab
X9P251R1Dm3,DNEG3,P251,NONINFnm,Fecal Swab
X9P252R1Dm3,DNEG3,P252,NONINFnm,Fecal Swab
X9P253R1Dm3,DNEG3,P253,NONINFnm,Fecal Swab
X9P254R1Dm3,DNEG3,P254,NONINFnm,Fecal Swab
X9P255R1Dm3,DNEG3,P255,NONINFnm,Fecal Swab
X9P256R1Dm3,DNEG3,P256,NONINFnm,Fecal Swab
X9P257R1Dm3,DNEG3,P257,NONINFnm,Fecal Swab
X9P258R1Dm3,DNEG3,P258,NONINFnm,Fecal Swab
X9P259R1Dm3,DNEG3,P259,NONINFnm,Fecal Swab
X9P260R1Dm3,DNEG3,P260,NONINFnm,Fecal Swab
X9P261R1Dm3,DNEG3,P261,NONINFnm,Fecal Swab
X9P262R1Dm3,DNEG3,P262,NONINFnm,Fecal Swab
X9P263R1Dm3,DNEG3,P263,NONINFnm,Fecal Swab
X9P264R1Dm3,DNEG3,P264,NONINFnm,Fecal Swab
X9P265R1Dm3,DNEG3,P265,NONINFnm,Fecal Swab
