Pig,Treatment,Day,log10tet32
271,INFfeed,D0,4.182929269
272,INFfeed,D0,4.635700054
273,INFfeed,D0,4.525234893
275,INFfeed,D0,4.34030803
281,INFfeed,D0,4.789490582
282,INFfeed,D0,4.74802012
283,INFfeed,D0,4.832298801
284,INFfeed,D0,2.789276541
285,INFfeed,D0,4.573844178
291,INFinject,D0,3.632239982
292,INFinject,D0,4.498394692
293,INFinject,D0,4.010549066
294,INFinject,D0,4.677386558
295,INFinject,D0,5.304764354
301,INFinject,D0,4.945700644
302,INFinject,D0,2.648544521
303,INFinject,D0,4.853970462
304,INFinject,D0,2.860712757
305,INFinject,D0,1.392390839
311,INFnm,D0,1.392390839
312,INFnm,D0,4.194188784
313,INFnm,D0,3.750342241
314,INFnm,D0,3.837623356
315,INFnm,D0,4.678249598
321,INFnm,D0,4.791898545
322,INFnm,D0,2.792754709
323,INFnm,D0,4.93156036
324,INFnm,D0,3.808112158
325,INFnm,D0,3.613602312
271,INFfeed,D4,4.744274401
272,INFfeed,D4,4.498662243
273,INFfeed,D4,4.250107021
275,INFfeed,D4,2.468223583
281,INFfeed,D4,2.488180574
282,INFfeed,D4,4.528092894
283,INFfeed,D4,2.536362452
284,INFfeed,D4,2.871924994
285,INFfeed,D4,4.860659247
291,INFinject,D4,2.673780587
292,INFinject,D4,4.387093322
293,INFinject,D4,2.535507152
294,INFinject,D4,2.524958457
295,INFinject,D4,2.639283503
301,INFinject,D4,2.695098459
302,INFinject,D4,3.19916524
303,INFinject,D4,1.991973459
304,INFinject,D4,4.204355736
305,INFinject,D4,2.859107449
311,INFnm,D4,3.13706787
312,INFnm,D4,4.840325342
313,INFnm,D4,4.5
314,INFnm,D4,4.457191781
315,INFnm,D4,4.779056079
321,INFnm,D4,4.655982449
322,INFnm,D4,5.80672089
323,INFnm,D4,3.311548988
324,INFnm,D4,3.39337265
325,INFnm,D4,3.344178082
271,INFfeed,D7,5.615405683
272,INFfeed,D7,5.147281542
273,INFfeed,D7,5.773115155
275,INFfeed,D7,5.128210265
281,INFfeed,D7,4.722104251
282,INFfeed,D7,4.385552306
283,INFfeed,D7,4.888697464
284,INFfeed,D7,4.777354862
285,INFfeed,D7,5.389598942
291,INFinject,D7,4.816619256
292,INFinject,D7,5.118674626
293,INFinject,D7,4.492968468
294,INFinject,D7,4.960351369
295,INFinject,D7,4.97255499
301,INFinject,D7,5.396610441
302,INFinject,D7,5.012099844
303,INFinject,D7,4.068913017
304,INFinject,D7,4.316559157
305,INFinject,D7,5.259043236
311,INFnm,D7,4.864858368
312,INFnm,D7,4.811570976
313,INFnm,D7,4.879161825
314,INFnm,D7,4.731359429
315,INFnm,D7,4.932729677
321,INFnm,D7,4.880844585
322,INFnm,D7,3.07131696
323,INFnm,D7,4.048439441
324,INFnm,D7,3.403101086
325,INFnm,D7,4.846211473
