"","pairs","F.Model","R2","p.value","p.adjusted","p.adjusted2"
"19","DNEG3_NONINFnm vs DNEG3_INFfeed",1.6886408322577,0.0460262575541638,0.02,0.08,NA
"24","DNEG3_NONINFnm vs DNEG3_INFinject",0.917830433595332,0.0278824704272919,0.533,0.6456,NA
"27","DNEG3_NONINFnm vs DNEG3_INFnm",2.1272783224295,0.0623336646518156,0.011,0.066,NA
"70","DNEG3_INFfeed vs DNEG3_INFinject",1.53937459529213,0.0421291993183284,0.06,0.16,NA
"73","DNEG3_INFfeed vs DNEG3_INFnm",1.99198941716163,0.0538492102897685,0.011,0.066,NA
"108","DNEG3_INFinject vs DNEG3_INFnm",2.26421342588097,0.0660809982046962,0.009,0.066,NA
"33","D0_NONINFnm vs D0_INFfeed",1.27258165726739,0.0958804918386462,0.196,0.361846153846154,NA
"35","D0_NONINFnm vs D0_INFinject",0.660078277825035,0.0319494567711059,0.741,0.773217391304348,NA
"41","D0_NONINFnm vs D0_INFnm",0.861210341112913,0.057950215449842,0.567,0.648,NA
"77","D0_INFfeed vs D0_INFinject",1.01834531863263,0.059838092338959,0.393,0.554823529411765,NA
"83","D0_INFfeed vs D0_INFnm",1.15103133113269,0.103221961893257,0.264,0.4224,NA
"98","D0_INFinject vs D0_INFnm",0.880689751705633,0.046644998847358,0.538,0.6456,NA
"4","D4_NONINFnm vs D4_INFfeed",1.6078572044526,0.186789483870724,0.09,0.196363636363636,NA
"9","D4_NONINFnm vs D4_INFinject",1.72495345134684,0.147118149210963,0.087,0.196363636363636,NA
"12","D4_NONINFnm vs D4_INFnm",0.66180495424511,0.068497031080547,0.735,0.773217391304348,NA
"59","D4_INFfeed vs D4_INFinject",0.511869908891432,0.0538138046245723,0.918,0.918,NA
"62","D4_INFfeed vs D4_INFnm",0.9555579496313,0.106699990665645,0.462,0.616,NA
"102","D4_INFinject vs D4_INFnm",0.986682714929081,0.0823149105048217,0.393,0.554823529411765,NA
"46","D7_NONINFnm vs D7_INFfeed",1.19537877091539,0.0695174434271418,0.228,0.390857142857143,NA
"50","D7_NONINFnm vs D7_INFinject",1.99488552538901,0.110858472679608,0.019,0.08,NA
"54","D7_NONINFnm vs D7_INFnm",1.35440318458633,0.0780437777191481,0.162,0.324,NA
"88","D7_INFfeed vs D7_INFinject",1.84343654798024,0.0928990572536626,0.029,0.087,NA
"92","D7_INFfeed vs D7_INFnm",1.78306152852937,0.0901307174300601,0.028,0.087,NA
"114","D7_INFinject vs D7_INFnm",2.20789417033523,0.109258993130337,0.004,0.066,NA
