"","pairs","F.Model","R2","p.value","p.adjusted","p.adjusted2"
"19","DNEG3_NONINFnm vs DNEG3_INFfeed",1.73096497053565,0.0458765094369404,0.02,0.072,NA
"24","DNEG3_NONINFnm vs DNEG3_INFinject",0.99491503514029,0.0292665839615088,0.423,0.483428571428571,NA
"27","DNEG3_NONINFnm vs DNEG3_INFnm",2.07944208597119,0.059278083182594,0.01,0.066,NA
"70","DNEG3_INFfeed vs DNEG3_INFinject",1.35486865277868,0.0372678736847842,0.108,0.235636363636364,NA
"73","DNEG3_INFfeed vs DNEG3_INFnm",2.06014554234415,0.0555892458649487,0.005,0.066,NA
"108","DNEG3_INFinject vs DNEG3_INFnm",2.22566602355793,0.0650291515737336,0.011,0.066,NA
"33","D0_NONINFnm vs D0_INFfeed",1.27855187841964,0.0962869965133434,0.219,0.375428571428571,NA
"35","D0_NONINFnm vs D0_INFinject",0.757211913789974,0.0364794615449738,0.607,0.662181818181818,NA
"41","D0_NONINFnm vs D0_INFnm",0.951441663595005,0.0636354463336905,0.412,0.483428571428571,NA
"77","D0_INFfeed vs D0_INFinject",0.984936367174676,0.057988817024842,0.397,0.483428571428571,NA
"83","D0_INFfeed vs D0_INFnm",1.07043132842783,0.0966928294545365,0.353,0.483428571428571,NA
"98","D0_INFinject vs D0_INFnm",1.00809003361844,0.0530347884419472,0.402,0.483428571428571,NA
"4","D4_NONINFnm vs D4_INFfeed",1.59147699335249,0.185239044995857,0.092,0.235636363636364,NA
"9","D4_NONINFnm vs D4_INFinject",1.59384085752225,0.137473066700596,0.104,0.235636363636364,NA
"12","D4_NONINFnm vs D4_INFnm",0.717868796975326,0.0738710114298684,0.666,0.69495652173913,NA
"59","D4_INFfeed vs D4_INFinject",0.523144787517695,0.0549340369373989,0.898,0.898,NA
"62","D4_INFfeed vs D4_INFnm",1.10230035666704,0.121101294560078,0.368,0.483428571428571,NA
"102","D4_INFinject vs D4_INFnm",0.931813455615193,0.0780948729278595,0.401,0.483428571428571,NA
"46","D7_NONINFnm vs D7_INFfeed",1.24475183938496,0.0721814875028873,0.195,0.36,NA
"50","D7_NONINFnm vs D7_INFinject",1.98986577494873,0.110610373631562,0.016,0.072,NA
"54","D7_NONINFnm vs D7_INFnm",1.32456228878669,0.076455743395261,0.182,0.36,NA
"88","D7_INFfeed vs D7_INFinject",1.80277548310113,0.0910365056978778,0.032,0.096,NA
"92","D7_INFfeed vs D7_INFnm",1.92618490463187,0.0966660157903144,0.021,0.072,NA
"114","D7_INFinject vs D7_INFnm",2.08226757628287,0.103686875417496,0.008,0.066,NA
