"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp"
"Otu0037",489.277949992719,-7.94059130559454e-06,0.00144269652949003,0.00296067521994996,0.0473708035191994,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales",NA,NA,"4.7e-02","INFinject","Otu0037","D7_INFfeed_vs_INFinject"
"Otu0116",21.2361786916682,-1.50979347014957e-06,0.00144269530436744,6.97456818330025e-06,0.000334779272798412,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"0.0e+00","INFinject","Otu0116","D7_INFfeed_vs_INFinject"
"Otu0304",8.20160696425129,-1.88340689568774e-06,0.00144269540776477,0.00131575429381074,0.0315781030514578,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,"3.2e-02","INFinject","Otu0304","D7_INFfeed_vs_INFinject"
"Otu00371",489.277949992719,-7.94059130559454e-06,0.00144269652949003,0.00296067521994996,0.0473708035191994,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales",NA,NA,"4.7e-02","INFnm","Otu0037","D7_INFfeed_vs_INFnm"
"Otu01168",21.2361786916682,-1.50979347014957e-06,0.00144269530436744,6.97456818330025e-06,0.000334779272798412,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"0.0e+00","INFnm","Otu0116","D7_INFfeed_vs_INFnm"
"Otu03041",8.20160696425129,-1.88340689568774e-06,0.00144269540776477,0.00131575429381074,0.0315781030514578,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,"3.2e-02","INFnm","Otu0304","D7_INFfeed_vs_INFnm"
"Otu0080",564.94509771468,-3.61120540666172e-06,0.00144269599590819,0.000984042928761499,0.023617030290276,"Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39",NA,NA,"2.4e-02","INFnm","Otu0080","D7_INFinject_vs_INFnm"
"Otu01167",21.2361786916682,-1.61811671276955e-06,0.00144269544786546,4.8393652014707e-06,0.000232289529670593,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"0.0e+00","INFnm","Otu0116","D7_INFinject_vs_INFnm"
"Otu0004",857.267618575237,1.00828498901342,0.341730877135397,0.00145560776309796,0.00970405175398643,"Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA,"1.0e-02","INFfeed","Otu0004","DNEG3_INFfeed_vs_INFinject"
"Otu0015",276.946655835926,1.90663836160646,0.686706879610851,0.000754925428862061,0.00603940343089649,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,"6.0e-03","INFfeed","Otu0015","DNEG3_INFfeed_vs_INFinject"
"Otu0051",172.935063092925,-1.97826307468708,0.572183616821103,8.87062019536532e-05,0.00163863862357476,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales",NA,NA,"2.0e-03","INFinject","Otu0051","DNEG3_INFfeed_vs_INFinject"
"Otu0056",106.713720500824,1.0553377083602,0.334422480852453,0.000708580209542176,0.00603940343089649,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales",NA,NA,"6.0e-03","INFfeed","Otu0056","DNEG3_INFfeed_vs_INFinject"
"Otu01166",10.0865338873232,-0.648987693747517,1.03006766330526,0.00890033607949535,0.0395570492422016,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"4.0e-02","INFinject","Otu0116","DNEG3_INFfeed_vs_INFinject"
"Otu0257",22.3108882653975,-1.10293337075051,0.425969489223876,0.0036837797067911,0.021050169753092,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA,"2.1e-02","INFinject","Otu0257","DNEG3_INFfeed_vs_INFinject"
"Otu0268",27.416136182477,-0.636631703230845,0.72473913417523,0.000122897896768107,0.00163863862357476,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales",NA,NA,"2.0e-03","INFinject","Otu0268","DNEG3_INFfeed_vs_INFinject"
"Otu0364",16.7995047037048,-2.18471417429582,1.18433270807074,1.89638140544381e-05,0.000758552562177525,"Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41",NA,NA,"1.0e-03","INFinject","Otu0364","DNEG3_INFfeed_vs_INFinject"
"Otu0442",16.4914053508159,-1.72029247811555,0.839848601712361,0.00630678513378454,0.0315339256689227,"Bacteria","Synergistetes","Synergistia","Synergistales",NA,NA,"3.2e-02","INFinject","Otu0442","DNEG3_INFfeed_vs_INFinject"
"Otu00041",857.267618575237,1.00828498901342,0.341730877135397,0.00145560776309796,0.00970405175398643,"Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA,"1.0e-02","INFfeed","Otu0004","DNEG3_INFfeed_vs_INFnm"
"Otu00152",276.946655835926,1.90663836160646,0.686706879610851,0.000754925428862061,0.00603940343089649,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,"6.0e-03","INFfeed","Otu0015","DNEG3_INFfeed_vs_INFnm"
"Otu00512",172.935063092925,-1.97826307468708,0.572183616821103,8.87062019536532e-05,0.00163863862357476,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales",NA,NA,"2.0e-03","INFnm","Otu0051","DNEG3_INFfeed_vs_INFnm"
"Otu00562",106.713720500824,1.0553377083602,0.334422480852453,0.000708580209542176,0.00603940343089649,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales",NA,NA,"6.0e-03","INFfeed","Otu0056","DNEG3_INFfeed_vs_INFnm"
"Otu01163",10.0865338873232,-0.648987693747517,1.03006766330526,0.00890033607949535,0.0395570492422016,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"4.0e-02","INFnm","Otu0116","DNEG3_INFfeed_vs_INFnm"
"Otu02572",22.3108882653975,-1.10293337075051,0.425969489223876,0.0036837797067911,0.021050169753092,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA,"2.1e-02","INFnm","Otu0257","DNEG3_INFfeed_vs_INFnm"
"Otu02683",27.416136182477,-0.636631703230845,0.72473913417523,0.000122897896768107,0.00163863862357476,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales",NA,NA,"2.0e-03","INFnm","Otu0268","DNEG3_INFfeed_vs_INFnm"
"Otu03642",16.7995047037048,-2.18471417429582,1.18433270807074,1.89638140544381e-05,0.000758552562177525,"Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41",NA,NA,"1.0e-03","INFnm","Otu0364","DNEG3_INFfeed_vs_INFnm"
"Otu04422",16.4914053508159,-1.72029247811555,0.839848601712361,0.00630678513378454,0.0315339256689227,"Bacteria","Synergistetes","Synergistia","Synergistales",NA,NA,"3.2e-02","INFnm","Otu0442","DNEG3_INFfeed_vs_INFnm"
"Otu00511",172.935063092925,-1.79853920486566,0.626614448102732,0.000283314564893361,0.00500522397978271,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales",NA,NA,"5e-03","INFnm","Otu0051","DNEG3_INFinject_vs_INFnm"
"Otu01161",10.0865338873232,0.0210512847086575,0.530938877373771,0.000253564061363573,0.00500522397978271,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"5e-03","INFinject","Otu0116","DNEG3_INFinject_vs_INFnm"
"Otu02681",27.416136182477,-3.07370661028922,1.00472519391771,8.27867142544476e-05,0.00438769585548572,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales",NA,NA,"4e-03","INFnm","Otu0268","DNEG3_INFinject_vs_INFnm"
"Otu0025",562.420807317878,2.18351603498385,0.828666046811624,0.000905995491838274,0.0120044402668571,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales",NA,NA,"1.2e-02","INFnm","Otu0025","DNEG3_INFnm_vs_NONINFnm"
"Otu01162",10.0865338873232,0.169857758539396,0.806908058308866,2.66789840083599e-06,0.000141398615244308,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"0.0e+00","INFnm","Otu0116","DNEG3_INFnm_vs_NONINFnm"
"Otu02571",22.3108882653975,1.48115690038336,0.451456919432432,0.000236760132818625,0.00418276234646238,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA,"4.0e-03","INFnm","Otu0257","DNEG3_INFnm_vs_NONINFnm"
"Otu02682",27.416136182477,3.52273606535471,0.952349695961638,1.41286015428608e-05,0.000374407940885812,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales",NA,NA,"0.0e+00","INFnm","Otu0268","DNEG3_INFnm_vs_NONINFnm"
"Otu04421",16.4914053508159,1.97109792313605,0.881457011561336,0.00311755273890852,0.0330460590324304,"Bacteria","Synergistetes","Synergistia","Synergistales",NA,NA,"3.3e-02","INFnm","Otu0442","DNEG3_INFnm_vs_NONINFnm"
"Otu00151",276.946655835926,2.15330391354045,0.706910992681504,0.000108791614969815,0.00576595559340021,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,"6.0e-03","INFfeed","Otu0015","DNEG3_INFfeed_vs_NONINFnm"
