"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp"
"Otu0038",487.921359010456,-0.920749386546151,0.383500287862863,0.00269172513969172,0.0439648439482981,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales",NA,NA,"4.4e-02","INFinject","Otu0038","D7_INFfeed_vs_INFinject"
"Otu0112",21.0648302977112,-0.360087048781706,0.716698854530366,4.75369936448889e-05,0.00232931268859956,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"2.0e-03","INFinject","Otu0112","D7_INFfeed_vs_INFinject"
"Otu0294",8.19734289848326,-6.32002509100364,2.99113578880726,0.00136474739572134,0.0334363111951728,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,"3.3e-02","INFinject","Otu0294","D7_INFfeed_vs_INFinject"
"Otu00381",487.921359010456,-0.920749386546151,0.383500287862863,0.00269172513969172,0.0439648439482981,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales",NA,NA,"4.4e-02","INFnm","Otu0038","D7_INFfeed_vs_INFnm"
"Otu01128",21.0648302977112,-0.360087048781706,0.716698854530366,4.75369936448889e-05,0.00232931268859956,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"2.0e-03","INFnm","Otu0112","D7_INFfeed_vs_INFnm"
"Otu02941",8.19734289848326,-6.32002509100364,2.99113578880726,0.00136474739572134,0.0334363111951728,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,"3.3e-02","INFnm","Otu0294","D7_INFfeed_vs_INFnm"
"Otu0078",561.807894271108,-2.04285145746838,0.848620949672053,0.000991417946516601,0.0242897396896567,"Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39",NA,NA,"2.4e-02","INFnm","Otu0078","D7_INFinject_vs_INFnm"
"Otu01127",21.0648302977112,-5.87114955659522,1.74854494802926,1.4811325156262e-05,0.000725754932656839,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"1.0e-03","INFnm","Otu0112","D7_INFinject_vs_INFnm"
"Otu0004",889.579999654084,1.01161318942299,0.343356959915223,0.00148102337091931,0.00789879131156964,"Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA,"8.0e-03","INFfeed","Otu0004","DNEG3_INFfeed_vs_INFinject"
"Otu0015",286.915949793733,1.91113754008906,0.690730378077287,0.000801366788055468,0.005128747443555,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,"5.0e-03","INFfeed","Otu0015","DNEG3_INFfeed_vs_INFinject"
