"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp"
"Otu0116",20.8594812933641,-1.74439831540215e-06,0.0014426954513582,2.26791331862368e-06,4.53582663724736e-05,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"0e+00","INFinject","Otu0116","D7_INFfeed_vs_INFinject"
"Otu01167",20.8594812933641,-1.74439831540215e-06,0.0014426954513582,2.26791331862368e-06,4.53582663724736e-05,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"0e+00","INFnm","Otu0116","D7_INFfeed_vs_INFnm"
"Otu0080",547.355725963384,-3.42206160600074e-06,0.00144269560113502,0.00265378079424944,0.0265378079424944,"Bacteria","Tenericutes",NA,NA,NA,NA,"2.7e-02","INFnm","Otu0080","D7_INFinject_vs_INFnm"
"Otu01166",20.8594812933641,-1.81775934903505e-06,0.00144269555706106,1.73343379256427e-06,3.46686758512854e-05,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"0.0e+00","INFnm","Otu0116","D7_INFinject_vs_INFnm"
"Otu0015",618.669515286836,-0.928175958983167,0.343586953802828,0.0030662880304482,0.0214640162131374,"Bacteria","Proteobacteria",NA,NA,NA,NA,"2.1e-02","INFnm","Otu0015","DNEG3_INFinject_vs_INFnm"
"Otu0025",472.656931458043,-1.65548782486601,0.783884372867448,0.00423151600408788,0.0222154590214614,"Bacteria","Epsilonbacteraeota",NA,NA,NA,NA,"2.2e-02","INFnm","Otu0025","DNEG3_INFinject_vs_INFnm"
"Otu0060",915.93271743256,-1.48724261435203,0.725193376562461,0.00608033349195369,0.0255374006662055,"Bacteria","Spirochaetes",NA,NA,NA,NA,"2.6e-02","INFnm","Otu0060","DNEG3_INFinject_vs_INFnm"
"Otu01165",14.4889918259333,0.110741761153517,0.656213779244093,3.00774358137848e-05,0.000631626152089481,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"1.0e-03","INFinject","Otu0116","DNEG3_INFinject_vs_INFnm"
"Otu0442",16.3121268475048,-2.02604886179796,0.867910324574033,0.00173757592970512,0.0182445472619037,"Bacteria","Synergistetes",NA,NA,NA,NA,"1.8e-02","INFnm","Otu0442","DNEG3_INFinject_vs_INFnm"
"Otu00251",472.656931458043,1.85516481168252,0.750102170737637,0.00237829685674421,0.0124860584979071,"Bacteria","Epsilonbacteraeota",NA,NA,NA,NA,"1.2e-02","INFnm","Otu0025","DNEG3_INFnm_vs_NONINFnm"
"Otu00601",915.93271743256,2.01414196454959,0.702129695450162,0.000701732891998167,0.00732827505686052,"Bacteria","Spirochaetes",NA,NA,NA,NA,"7.0e-03","INFnm","Otu0060","DNEG3_INFnm_vs_NONINFnm"
"Otu01161",14.4889918259333,0.633720909443997,0.848154778930652,1.10898888876854e-09,2.32887666641394e-08,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"0.0e+00","INFnm","Otu0116","DNEG3_INFnm_vs_NONINFnm"
"Otu04421",16.3121268475048,2.21280979833624,0.826937057861609,0.00104689643669436,0.00732827505686052,"Bacteria","Synergistetes",NA,NA,NA,NA,"7.0e-03","INFnm","Otu0442","DNEG3_INFnm_vs_NONINFnm"
"Otu00151",618.669515286836,0.874863063422658,0.33242199345795,0.00204391064355809,0.0143073745049066,"Bacteria","Proteobacteria",NA,NA,NA,NA,"1.4e-02","INFfeed","Otu0015","DNEG3_INFfeed_vs_NONINFnm"
"Otu00252",472.656931458043,1.92244552344401,0.781093423308353,0.000729650654414029,0.0076613318713473,"Bacteria","Epsilonbacteraeota",NA,NA,NA,NA,"8.0e-03","INFfeed","Otu0025","DNEG3_INFfeed_vs_NONINFnm"
"Otu01162",14.4889918259333,-0.270224059861494,0.568158055561679,2.08278248702207e-05,0.000437384322274635,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"0.0e+00","NONINFnm","Otu0116","DNEG3_INFfeed_vs_NONINFnm"
"Otu01163",25.9826590557677,6.39303188125893e-07,0.00144269509433357,0.000399552731794894,0.00759150190410298,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"8e-03","INFnm","Otu0116","D0_INFnm_vs_NONINFnm"
"Otu01164",25.9826590557677,0.0170727278018518,0.168082757045462,0.00016878749341828,0.00320696237494733,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"3e-03","INFinject","Otu0116","D0_INFinject_vs_NONINFnm"
"Otu01168",20.8594812933641,5.60302974515241,1.71017125290941,4.34848187004334e-06,8.69696374008668e-05,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"0e+00","INFnm","Otu0116","D7_INFnm_vs_NONINFnm"
"Otu00801",547.355725963384,-3.81557440862678e-06,0.00144269638776264,0.000396625080278071,0.00793250160556142,"Bacteria","Tenericutes",NA,NA,NA,NA,"8e-03","NONINFnm","Otu0080","D7_INFinject_vs_NONINFnm"
