"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp"
"Otu0112",20.6669451539047,-1.51996892101402e-06,0.00144269533958703,8.43940148287315e-06,0.000168788029657463,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"0e+00","INFinject","Otu0112","D7_INFfeed_vs_INFinject"
"Otu01128",20.6669451539047,-1.51996892101402e-06,0.00144269533958703,8.43940148287315e-06,0.000168788029657463,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"0e+00","INFnm","Otu0112","D7_INFfeed_vs_INFnm"
"Otu0078",545.112960511574,-3.41728047465884e-06,0.00144269560823761,0.00258499039542973,0.0258499039542973,"Bacteria","Tenericutes",NA,NA,NA,NA,"2.6e-02","INFnm","Otu0078","D7_INFinject_vs_INFnm"
"Otu01127",20.6669451539047,-1.5934975629639e-06,0.00144269544191953,2.17337268904629e-06,4.34674537809258e-05,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"0.0e+00","INFnm","Otu0112","D7_INFinject_vs_INFnm"
"Otu0015",638.132086416507,-0.934970218112109,0.347881062098368,0.00327611861657482,0.0218650769992547,"Bacteria","Proteobacteria",NA,NA,NA,NA,"2.2e-02","INFnm","Otu0015","DNEG3_INFinject_vs_INFnm"
"Otu0027",475.425052552149,-1.67274459722634,0.783454614704297,0.0041647765712866,0.0218650769992547,"Bacteria","Epsilonbacteraeota",NA,NA,NA,NA,"2.2e-02","INFnm","Otu0027","DNEG3_INFinject_vs_INFnm"
"Otu0058",959.66656209375,-1.50190884837993,0.72571997076005,0.00596492872849531,0.0250527006596803,"Bacteria","Spirochaetes",NA,NA,NA,NA,"2.5e-02","INFnm","Otu0058","DNEG3_INFinject_vs_INFnm"
"Otu01126",15.1372430433102,0.11181839072743,0.673180543111994,4.76872717392245e-05,0.00100143270652372,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"1.0e-03","INFinject","Otu0112","DNEG3_INFinject_vs_INFnm"
"Otu0432",16.6608577160471,-1.99120323608326,0.895958766431116,0.00241152636031999,0.0218650769992547,"Bacteria","Synergistetes",NA,NA,NA,NA,"2.2e-02","INFnm","Otu0432","DNEG3_INFinject_vs_INFnm"
"Otu0017",235.321825188135,-1.09931822540332,0.465991366382616,0.00826287446656785,0.034704072759585,"Bacteria","Actinobacteria",NA,NA,NA,NA,"3.5e-02","NONINFnm","Otu0017","DNEG3_INFnm_vs_NONINFnm"
"Otu00271",475.425052552149,2.7976268252237,0.76905716030441,2.71209211522737e-05,0.000284769672098874,"Bacteria","Epsilonbacteraeota",NA,NA,NA,NA,"0.0e+00","INFnm","Otu0027","DNEG3_INFnm_vs_NONINFnm"
"Otu00581",959.66656209375,1.9393298899437,0.716990279592937,0.00117784599345203,0.00824492195416418,"Bacteria","Spirochaetes",NA,NA,NA,NA,"8.0e-03","INFnm","Otu0058","DNEG3_INFnm_vs_NONINFnm"
"Otu01121",15.1372430433102,0.561770055336204,0.84925139818066,2.09797903750975e-09,4.40575597877047e-08,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"0.0e+00","INFnm","Otu0112","DNEG3_INFnm_vs_NONINFnm"
"Otu0171",2.05031284887128,10.7038937364751,1.84871104967377,0.0136335260864499,0.0477173413025748,"Bacteria","Deferribacteres",NA,NA,NA,NA,"4.8e-02","INFnm","Otu0171","DNEG3_INFnm_vs_NONINFnm"
"Otu04321",16.6608577160471,2.12990461086723,0.868975821690686,0.00189383965233281,0.00994265817474724,"Bacteria","Synergistetes",NA,NA,NA,NA,"1.0e-02","INFnm","Otu0432","DNEG3_INFnm_vs_NONINFnm"
"Otu00151",638.132086416507,0.901016371804642,0.336748701063664,0.0027201192550198,0.0190408347851386,"Bacteria","Proteobacteria",NA,NA,NA,NA,"1.9e-02","INFfeed","Otu0015","DNEG3_INFfeed_vs_NONINFnm"
"Otu00272",475.425052552149,2.94342123196936,0.753500364691208,4.94831737033835e-06,0.000103914664777105,"Bacteria","Epsilonbacteraeota",NA,NA,NA,NA,"0.0e+00","INFfeed","Otu0027","DNEG3_INFfeed_vs_NONINFnm"
"Otu01122",15.1372430433102,-0.409623179979739,0.705256097263086,2.59624105349184e-05,0.000272605310616643,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"0.0e+00","NONINFnm","Otu0112","DNEG3_INFfeed_vs_NONINFnm"
"Otu01123",25.8994975017116,6.3972514672818e-07,0.00144269509429544,0.000399541175810306,0.00719174116458551,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"7e-03","INFnm","Otu0112","D0_INFnm_vs_NONINFnm"
"Otu01124",25.8994975017116,0.0216722357852353,0.189713150620175,0.000172384513841061,0.0031029212491391,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"3e-03","INFinject","Otu0112","D0_INFinject_vs_NONINFnm"
"Otu01125",25.8994975017116,0.00195357802396202,0.05660012087991,0.00134724763777118,0.0242504574798813,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"2.4e-02","INFfeed","Otu0112","D0_INFinject_vs_NONINFnm"
"Otu01129",20.6669451539047,6.06623871809326,1.84513546137546,4.75913838846761e-06,9.51827677693523e-05,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,"0e+00","INFnm","Otu0112","D7_INFnm_vs_NONINFnm"
"Otu00781",545.112960511574,-3.81155627424752e-06,0.00144269639509522,0.000381037530815165,0.0076207506163033,"Bacteria","Tenericutes",NA,NA,NA,NA,"8e-03","NONINFnm","Otu0078","D7_INFinject_vs_NONINFnm"
