"","group","Day","Pig","Treatment","Sample.type","All","Order","value","value2"
"1","X9P250R1D4","D4","P250","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Selenomonadales",0.6232,12.4633
"2","X9P267R2D0","D0","P267","INFfeed","Fecal or Fecal swab","D0_INFfeed","Clostridiales",0.5679,11.358
"3","X9P278R2D4","D4","P278","INFfeed","Fecal or Fecal swab","D4_INFfeed","Selenomonadales",0.4303,10.7583
"4","X9P306R4D4","D4","P306","INFnm","Fecal or Fecal swab","D4_INFnm","Selenomonadales",0.6074,10.1232
"5","X9P322R4D0","D0","P322","INFnm","Fecal or Fecal swab","D0_INFnm","Selenomonadales",0.6872,9.8173
"6","X9P246R1D4","D4","P246","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Bacteroidales",0.4803,9.6068
"7","X9P309R4D0","D0","P309","INFnm","Fecal or Fecal swab","D0_INFnm","Bacteroidales",0.6705,9.5788
"8","X9P317R4D0","D0","P317","INFnm","Fecal or Fecal swab","D0_INFnm","Clostridiales",0.6279,8.9698
"9","X9P264R1D0","D0","P264","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Selenomonadales",0.7929,8.8102
"10","X9P267R2D4","D4","P267","INFfeed","Fecal or Fecal swab","D4_INFfeed","Lactobacillales",0.3464,8.6605
"11","X9P317R4D4","D4","P317","INFnm","Fecal or Fecal swab","D4_INFnm","Selenomonadales",0.5154,8.5905
"12","X9P280R2D0","D0","P280","INFfeed","Fecal or Fecal swab","D0_INFfeed","Selenomonadales",0.4291,8.5824
"13","X9P269R2D4","D4","P269","INFfeed","Fecal or Fecal swab","D4_INFfeed","Selenomonadales",0.3432,8.5809
"14","X9P257R1D4","D4","P257","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Selenomonadales",0.426,8.5208
"15","X9P267R2D4","D4","P267","INFfeed","Fecal or Fecal swab","D4_INFfeed","Clostridiales",0.3403,8.5065
"16","X9P258R1D4","D4","P258","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Selenomonadales",0.4211,8.4219
"17","X9P284R2D0","D0","P284","INFfeed","Fecal or Fecal swab","D0_INFfeed","Bacteroidales",0.4142,8.2833
"18","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Selenomonadales",0.4063,8.1264
"19","X9P269R2D4","D4","P269","INFfeed","Fecal or Fecal swab","D4_INFfeed","Bacteroidales",0.3237,8.0923
"20","X9P309R4D4","D4","P309","INFnm","Fecal or Fecal swab","D4_INFnm","Bacteroidales",0.4495,7.4916
"21","X9P280R2D0","D0","P280","INFfeed","Fecal or Fecal swab","D0_INFfeed","Bacteroidales",0.3744,7.4884
"22","X9P266R2D4","D4","P266","INFfeed","Fecal or Fecal swab","D4_INFfeed","Bacteroidales",0.2856,7.1401
"23","X9P258R1D0","D0","P258","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Selenomonadales",0.6346,7.0513
"24","X9P290R3D4","D4","P290","INFinject","Fecal or Fecal swab","D4_INFinject","Selenomonadales",0.4873,6.9614
"25","X9P316R4D4","D4","P316","INFnm","Fecal or Fecal swab","D4_INFnm","Bacteroidales",0.4104,6.8399
"26","X9P266R2D4","D4","P266","INFfeed","Fecal or Fecal swab","D4_INFfeed","Selenomonadales",0.2725,6.8129
"27","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Selenomonadales",0.3398,6.7951
"28","X9P289R3D4","D4","P289","INFinject","Fecal or Fecal swab","D4_INFinject","Bacteroidales",0.4726,6.7512
"29","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Clostridiales",0.331,6.6205
"30","X9P278R2D4","D4","P278","INFfeed","Fecal or Fecal swab","D4_INFfeed","Bacteroidales",0.2602,6.505
"31","X9P246R1D4","D4","P246","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Clostridiales",0.32,6.3994
"32","X9P286R3D4","D4","P286","INFinject","Fecal or Fecal swab","D4_INFinject","Clostridiales",0.4454,6.3626
"33","X9P284R2D0","D0","P284","INFfeed","Fecal or Fecal swab","D0_INFfeed","Clostridiales",0.3172,6.3433
"34","X9P319R4D4","D4","P319","INFnm","Fecal or Fecal swab","D4_INFnm","Bacteroidales",0.3792,6.3192
"35","X9P299R3D4","D4","P299","INFinject","Fecal or Fecal swab","D4_INFinject","Selenomonadales",0.4311,6.1586
"36","X9P310R4D0","D0","P310","INFnm","Fecal or Fecal swab","D0_INFnm","Selenomonadales",0.4222,6.0313
"37","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Clostridiales",0.2997,5.9938
"38","X9P266R2D4","D4","P266","INFfeed","Fecal or Fecal swab","D4_INFfeed","Clostridiales",0.2386,5.9661
"39","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Bacteroidales",0.2979,5.9584
"40","X9P261R1D0","D0","P261","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Bacteroidales",0.5259,5.843
"41","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Clostridiales",0.2845,5.6901
