"","group","Day","Pig","Treatment","Sample.type","All","Order","value","value2"
"1","X9P250R1D4","D4","P250","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Selenomonadales",0.6301,12.6023
"2","X9P267R2D0","D0","P267","INFfeed","Fecal or Fecal swab","D0_INFfeed","Clostridiales",0.5474,10.9483
"3","X9P278R2D4","D4","P278","INFfeed","Fecal or Fecal swab","D4_INFfeed","Selenomonadales",0.4334,10.8353
"4","X9P306R4D4","D4","P306","INFnm","Fecal or Fecal swab","D4_INFnm","Selenomonadales",0.6014,10.0231
"5","X9P309R4D0","D0","P309","INFnm","Fecal or Fecal swab","D0_INFnm","Bacteroidales",0.6962,9.9451
"6","X9P246R1D4","D4","P246","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Bacteroidales",0.4923,9.8462
"7","X9P322R4D0","D0","P322","INFnm","Fecal or Fecal swab","D0_INFnm","Selenomonadales",0.6793,9.7037
"8","X9P267R2D4","D4","P267","INFfeed","Fecal or Fecal swab","D4_INFfeed","Clostridiales",0.3585,8.9615
"9","X9P269R2D4","D4","P269","INFfeed","Fecal or Fecal swab","D4_INFfeed","Selenomonadales",0.3544,8.859
"10","X9P317R4D4","D4","P317","INFnm","Fecal or Fecal swab","D4_INFnm","Selenomonadales",0.5313,8.8554
"11","X9P317R4D0","D0","P317","INFnm","Fecal or Fecal swab","D0_INFnm","Clostridiales",0.6051,8.644
"12","X9P264R1D0","D0","P264","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Selenomonadales",0.7727,8.5859
"13","X9P267R2D4","D4","P267","INFfeed","Fecal or Fecal swab","D4_INFfeed","Lactobacillales",0.3415,8.5385
"14","X9P257R1D4","D4","P257","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Selenomonadales",0.4255,8.5097
"15","X9P280R2D0","D0","P280","INFfeed","Fecal or Fecal swab","D0_INFfeed","Selenomonadales",0.4196,8.3911
"16","X9P258R1D4","D4","P258","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Selenomonadales",0.4189,8.3771
"17","X9P284R2D0","D0","P284","INFfeed","Fecal or Fecal swab","D0_INFfeed","Bacteroidales",0.4178,8.3552
"18","X9P269R2D4","D4","P269","INFfeed","Fecal or Fecal swab","D4_INFfeed","Bacteroidales",0.3232,8.0802
"19","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Selenomonadales",0.3923,7.8456
"20","X9P280R2D0","D0","P280","INFfeed","Fecal or Fecal swab","D0_INFfeed","Bacteroidales",0.3865,7.729
"21","X9P278R2D4","D4","P278","INFfeed","Fecal or Fecal swab","D4_INFfeed","Bacteroidales",0.2933,7.3326
"22","X9P309R4D4","D4","P309","INFnm","Fecal or Fecal swab","D4_INFnm","Bacteroidales",0.4392,7.3205
"23","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Selenomonadales",0.3654,7.3077
"24","X9P290R3D4","D4","P290","INFinject","Fecal or Fecal swab","D4_INFinject","Selenomonadales",0.5069,7.2418
"25","X9P266R2D4","D4","P266","INFfeed","Fecal or Fecal swab","D4_INFfeed","Bacteroidales",0.2838,7.0962
"26","X9P258R1D0","D0","P258","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Selenomonadales",0.6323,7.0256
"27","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Clostridiales",0.3436,6.8721
"28","X9P286R3D4","D4","P286","INFinject","Fecal or Fecal swab","D4_INFinject","Clostridiales",0.4796,6.851
"29","X9P289R3D4","D4","P289","INFinject","Fecal or Fecal swab","D4_INFinject","Bacteroidales",0.4738,6.7687
"30","X9P266R2D4","D4","P266","INFfeed","Fecal or Fecal swab","D4_INFfeed","Selenomonadales",0.2592,6.4808
"31","X9P284R2D0","D0","P284","INFfeed","Fecal or Fecal swab","D0_INFfeed","Clostridiales",0.3181,6.3629
"32","X9P266R2D4","D4","P266","INFfeed","Fecal or Fecal swab","D4_INFfeed","Clostridiales",0.2477,6.1923
"33","X9P299R3D4","D4","P299","INFinject","Fecal or Fecal swab","D4_INFinject","Selenomonadales",0.4322,6.1743
"34","X9P310R4D0","D0","P310","INFnm","Fecal or Fecal swab","D0_INFnm","Selenomonadales",0.428,6.1146
"35","X9P246R1D4","D4","P246","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Clostridiales",0.3031,6.0615
"36","X9P319R4D4","D4","P319","INFnm","Fecal or Fecal swab","D4_INFnm","Bacteroidales",0.363,6.0501
"37","X9P261R1D0","D0","P261","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Bacteroidales",0.5381,5.979
"38","X9P316R4D4","D4","P316","INFnm","Fecal or Fecal swab","D4_INFnm","Bacteroidales",0.3574,5.9561
"39","X9P314R4D7","D7","P314","INFnm","Fecal","D7_INFnm","Selenomonadales",0.5866,5.8661
