"","group","Day","Pig","Treatment","Sample.type","All","Phylum","value","value2","forplot"
"1","X9P267R2D4","D4","P267","INFfeed","Fecal or Fecal swab","D4_INFfeed","Firmicutes",0.7821,19.5535,"keep"
"2","X9P266R2D4","D4","P266","INFfeed","Fecal or Fecal swab","D4_INFfeed","Firmicutes",0.6805,17.0131,"keep"
"3","X9P278R2D4","D4","P278","INFfeed","Fecal or Fecal swab","D4_INFfeed","Firmicutes",0.6597,16.4935,"keep"
"4","X9P250R1D4","D4","P250","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Firmicutes",0.8162,16.3243,"keep"
"5","X9P269R2D4","D4","P269","INFfeed","Fecal or Fecal swab","D4_INFfeed","Firmicutes",0.6263,15.6568,"keep"
"6","X9P267R2D0","D0","P267","INFfeed","Fecal or Fecal swab","D0_INFfeed","Firmicutes",0.7153,14.3056,"keep"
"7","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Firmicutes",0.7116,14.2328,"keep"
"8","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Firmicutes",0.7072,14.1448,"keep"
"9","X9P258R1D4","D4","P258","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Firmicutes",0.7052,14.1032,"keep"
"10","X9P257R1D4","D4","P257","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Firmicutes",0.6911,13.8213,"keep"
"11","X9P306R4D4","D4","P306","INFnm","Fecal or Fecal swab","D4_INFnm","Firmicutes",0.8222,13.7028,"keep"
"12","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Firmicutes",0.6182,12.3634,"keep"
"13","X9P317R4D0","D0","P317","INFnm","Fecal or Fecal swab","D0_INFnm","Firmicutes",0.8636,12.3377,"keep"
"14","X9P299R3D4","D4","P299","INFinject","Fecal or Fecal swab","D4_INFinject","Firmicutes",0.8622,12.3172,"keep"
"15","X9P297R3D4","D4","P297","INFinject","Fecal or Fecal swab","D4_INFinject","Firmicutes",0.844,12.0574,"keep"
"16","X9P317R4D4","D4","P317","INFnm","Fecal or Fecal swab","D4_INFnm","Firmicutes",0.7176,11.9599,"keep"
"17","X9P318R4D4","D4","P318","INFnm","Fecal or Fecal swab","D4_INFnm","Firmicutes",0.7106,11.8441,"keep"
"18","X9P280R2D0","D0","P280","INFfeed","Fecal or Fecal swab","D0_INFfeed","Firmicutes",0.5917,11.8336,"keep"
"19","X9P322R4D0","D0","P322","INFnm","Fecal or Fecal swab","D0_INFnm","Firmicutes",0.7958,11.3691,"keep"
"20","X9P284R2D0","D0","P284","INFfeed","Fecal or Fecal swab","D0_INFfeed","Firmicutes",0.5381,10.7621,"keep"
"21","X9P310R4D0","D0","P310","INFnm","Fecal or Fecal swab","D0_INFnm","Firmicutes",0.7419,10.5987,"keep"
"22","X9P298R3D4","D4","P298","INFinject","Fecal or Fecal swab","D4_INFinject","Firmicutes",0.7315,10.4497,"keep"
"23","X9P264R1D0","D0","P264","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Firmicutes",0.9138,10.1531,"keep"
"24","X9P264R1D7","D7","P264","NONINFnm","Fecal","D7_NONINFnm","Firmicutes",0.8102,10.1273,"keep"
"25","X9P251R1D7","D7","P251","NONINFnm","Fecal","D7_NONINFnm","Firmicutes",0.8028,10.0348,"keep"
"26","X9P246R1D4","D4","P246","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Firmicutes",0.4919,9.8381,"keep"
"27","X9P320R4D0","D0","P320","INFnm","Fecal or Fecal swab","D0_INFnm","Firmicutes",0.6859,9.7987,"keep"
"28","X9P246R1D4","D4","P246","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Bacteroidetes",0.4803,9.6068,"keep"
"29","X9P286R3D4","D4","P286","INFinject","Fecal or Fecal swab","D4_INFinject","Firmicutes",0.6708,9.5824,"keep"
"30","X9P309R4D0","D0","P309","INFnm","Fecal or Fecal swab","D0_INFnm","Bacteroidetes",0.6705,9.5788,"keep"
"31","X9P263R1D7","D7","P263","NONINFnm","Fecal","D7_NONINFnm","Firmicutes",0.7531,9.4135,"keep"
"32","X9P308R4D0","D0","P308","INFnm","Fecal or Fecal swab","D0_INFnm","Firmicutes",0.6542,9.3458,"keep"
"33","X9P319R4D4","D4","P319","INFnm","Fecal or Fecal swab","D4_INFnm","Firmicutes",0.5506,9.1763,"keep"
