"","group","Day","Pig","Treatment","Sample.type","All","Phylum","value","value2","forplot"
"1","X9P267R2D4","D4","P267","INFfeed","Fecal or Fecal swab","D4_INFfeed","Firmicutes",0.7777,19.4423,"keep"
"2","X9P266R2D4","D4","P266","INFfeed","Fecal or Fecal swab","D4_INFfeed","Firmicutes",0.6831,17.0769,"keep"
"3","X9P250R1D4","D4","P250","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Firmicutes",0.8193,16.3861,"keep"
"4","X9P269R2D4","D4","P269","INFfeed","Fecal or Fecal swab","D4_INFfeed","Firmicutes",0.641,16.0241,"keep"
"5","X9P278R2D4","D4","P278","INFfeed","Fecal or Fecal swab","D4_INFfeed","Firmicutes",0.6359,15.8968,"keep"
"6","X9P267R2D0","D0","P267","INFfeed","Fecal or Fecal swab","D0_INFfeed","Firmicutes",0.707,14.1403,"keep"
"7","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Firmicutes",0.7,14,"keep"
"8","X9P258R1D4","D4","P258","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Firmicutes",0.6986,13.9722,"keep"
"9","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Firmicutes",0.6973,13.9459,"keep"
"10","X9P306R4D4","D4","P306","INFnm","Fecal or Fecal swab","D4_INFnm","Firmicutes",0.8311,13.8525,"keep"
"11","X9P257R1D4","D4","P257","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Firmicutes",0.6826,13.6525,"keep"
"12","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Firmicutes",0.6448,12.8968,"keep"
"13","X9P299R3D4","D4","P299","INFinject","Fecal or Fecal swab","D4_INFinject","Firmicutes",0.8744,12.4917,"keep"
"14","X9P318R4D4","D4","P318","INFnm","Fecal or Fecal swab","D4_INFnm","Firmicutes",0.7386,12.3099,"keep"
"15","X9P317R4D0","D0","P317","INFnm","Fecal or Fecal swab","D0_INFnm","Firmicutes",0.856,12.2292,"keep"
"16","X9P297R3D4","D4","P297","INFinject","Fecal or Fecal swab","D4_INFinject","Firmicutes",0.8454,12.0769,"keep"
"17","X9P317R4D4","D4","P317","INFnm","Fecal or Fecal swab","D4_INFnm","Firmicutes",0.7146,11.9103,"keep"
"18","X9P280R2D0","D0","P280","INFfeed","Fecal or Fecal swab","D0_INFfeed","Firmicutes",0.5804,11.6089,"keep"
"19","X9P322R4D0","D0","P322","INFnm","Fecal or Fecal swab","D0_INFnm","Firmicutes",0.7957,11.3669,"keep"
"20","X9P284R2D0","D0","P284","INFfeed","Fecal or Fecal swab","D0_INFfeed","Firmicutes",0.5367,10.7336,"keep"
