Day,Tissue,Treatment,mean,n,sd,se
4,Lung,NONINFnm,0,10,0,0
4,Lung,INFnm,0,9,0,0
4,Lung,INFinject,203.476,10,65.47679897829799,6.547679897829799
4,Lung,INFfeed,206.439,10,92.77384622474878,9.277384622474878
4,Nasal,INFnm,10,9,0,0
4,Nasal,INFinject,10,10,0,0
4,Nasal,INFfeed,239.8,10,99.53067645482751,9.95306764548275
4,Plasma,NONINFnm,0,10,0,0
4,Plasma,INFnm,0,9,0,0
4,Plasma,INFinject,415.39173374,10,119.90136347566389,11.990136347566388
4,Plasma,INFfeed,116.392519838,10,40.827147725801865,4.082714772580187
7,Lung,NONINFnm,0,10,0,0
7,Lung,INFnm,0,10,0,0
7,Lung,INFinject,45.629,10,14.199244463468236,1.4199244463468237
7,Lung,INFfeed,216.712,10,62.434103180873834,6.243410318087383
7,Nasal,INFnm,10,10,0,0
7,Nasal,INFinject,10.72,10,1.5360844884170777,0.15360844884170777
7,Nasal,INFfeed,228.8,10,119.98725858282712,11.998725858282713
7,Plasma,NONINFnm,0,10,0,0
7,Plasma,INFnm,0,10,0,0
7,Plasma,INFinject,377.52572156,10,129.80216245771524,12.980216245771524
7,Plasma,INFfeed,117.641576159,10,27.407416565841782,2.740741656584178
